,rmse,r2
PM2.5,5.087963662709961,0.9282645462974618
PM10,3.8989393593197788,0.9772017270125827
CO2,0.0,1.0
TVOC,0.0,1.0
Temperature,2.4226597591984973,0.39097812450027336
Humidity,6.310119353593022,-0.27352228620837393
Pressure,1.699076328532885,-0.7361743601270094
